dt,rawTX,rawTY,rawTZ,rawYaw,rawPitch,rawRoll,correctedTX,correctedTY,correctedTZ,correctedYaw,correctedPitch,correctedRoll,filteredTX,filteredTY,filteredTZ,filteredYaw,filteredPitch,filteredRoll,mappedTX,mappedTY,mappedTZ,mappedYaw,mappedPitch,mappedRoll
0.0038239,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0664056,-0.00013609,-0.0136437,0.00516502,0,0,0.166014,-0.00013609,-0.0136437,0.00516502
0.0037191,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0664056,-0.00013609,-0.0136437,0.00516502,0,0,0.166014,-0.00013609,-0.0136437,0.00516502
0.0038964,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0664056,-0.00013609,-0.0136437,0.00516502,0,0,0.166014,-0.00013609,-0.0136437,0.00516502
0.0038935,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0664056,-0.00013609,-0.0136437,0.00516502,0,0,0.166014,-0.00013609,-0.0136437,0.00516502
0.003964,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0677518,-0.000139172,-0.0139426,0.00527816,0,0,0.169379,-0.000139172,-0.0139426,0.00527816
0.003859,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0690536,-0.000142161,-0.0142326,0.00538791,0,0,0.172634,-0.000142161,-0.0142326,0.00538791
0.0038181,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0703479,-0.000145144,-0.014522,0.00549742,0,0,0.17587,-0.000145144,-0.014522,0.00549742
0.0038937,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0716723,-0.000148206,-0.014819,0.00560982,0,0,0.179181,-0.000148206,-0.014819,0.00560982
0.0036864,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0729488,-0.000151168,-0.0151063,0.00571854,0,0,0.182372,-0.000151168,-0.0151063,0.00571854
0.0039834,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0742714,-0.000154245,-0.0154048,0.00583149,0,0,0.185679,-0.000154245,-0.0154048,0.00583149
0.0038375,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0755403,-0.000157207,-0.0156922,0.00594026,0,0,0.188851,-0.000157207,-0.0156922,0.00594026
0.0038421,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0768101,-0.000160181,-0.0159807,0.00604944,0,0,0.192025,-0.000160181,-0.0159807,0.00604943
